STRASSE,HAUSNUMMER,PLZ,ORT,LAT,LON,SOURCE,OSM_ID
Turnplatzweg,15,9560,St. Ulrich,46.749629,14.1110291,node,5393209458
,16,9560,Buchscheiden,46.7110139,14.0821767,node,5393566550
,13,9560,Buchscheiden,46.7091145,14.0815808,node,5393566552
,10,9560,Elbling,46.7166779,14.0639388,node,5393566582
,1,9560,Elbling,46.7161088,14.0616497,node,5393566583
,5,9560,Wachsenberg,46.7566067,14.0689504,node,5393566584
,10,9560,Wachsenberg,46.7573692,14.0711852,node,5393566585
,6,9560,Wachsenberg,46.7564119,14.0705145,node,5393566586
,3,9560,Kallitsch,46.7204345,14.1675629,node,5393566592
,5,9560,Kallitsch,46.721968,14.1596269,node,5393566593
,2,9560,Kallitsch,46.7225446,14.1618284,node,5393566594
,6,9560,Fasching,46.727923,14.1563307,node,5393566606
Panoramastraße,3,9560,Metzing,46.7339994,14.0733881,node,5394288953
Ahornweg,5,9560,Metzing,46.733319,14.0745443,node,5394288957
Ahornweg,3,9560,Metzing,46.7332453,14.0746486,node,5394288958
,21a,9560,Liebetig,46.706831,14.0706426,node,5394289126
,2,9560,Pernegg,46.6746697,14.0452624,node,5394480152
,2b,9560,Pernegg,46.6746394,14.045163,node,5394480153
Traubenweg,5a,9560,St. Nikolai,46.6829325,14.0745791,node,5394480177
Traubenweg,5,9560,St. Nikolai,46.682902,14.0743975,node,5394480178
,4a,9560,Egg,46.6866386,14.0958568,node,5394480179
,4,9560,Egg,46.6867194,14.0957609,node,5394480180
Dorfstraße,9,9560,Höfling,46.6973107,14.0895972,node,5394480181
Altmannweg,5,9560,Höfling,46.6954854,14.0903821,node,5394480184
Altmannweg,4,9560,Höfling,46.6956021,14.0903538,node,5394480185
Altmannweg,7a,9560,Höfling,46.6951299,14.090981,node,5394480186
Altmannweg,7,9560,Höfling,46.695135,14.0908073,node,5394480187
,16a,9560,Dellach,46.6769048,14.0778788,node,5394480219
,3,9560,Debar,46.6773349,14.0652648,node,5394480224
,7,9560,Debar,46.6748085,14.0643613,node,5394480227
Gargerweg,6,9554,St. Urban,46.7665476,14.1347896,node,5481473024
Agsdorfer Straße,15,9554,St. Urban,46.7371754,14.1503759,node,5489797534
Muldenweg,11,9560,Feldkirchen in Kärnten,46.7171674,14.0943346,node,5680174836
,146,9565,Reichenau,46.9122324,13.8726868,node,5888732517
,145,9565,Reichenau,46.9122425,13.8725527,node,5888732518
Seeweg,17,9554,St. Urban,46.7575995,14.1595423,node,6064275939
Seeblick,8,9554,St. Urban,46.7494347,14.1577855,node,6066158091
Seeblick,36,9554,St. Urban,46.7506697,14.156034,node,6066158092
Südblick,12,9554,St. Urban,46.7421766,14.1648155,node,6066208496
Aschlerweg,7,9554,St. Urban,46.7667111,14.1380873,node,6066208550
Winkl,29,9565,Reichenau,46.867809,13.891654,node,6273008116
,62a,9565,Reichenau,46.8527949,13.8988078,node,6273008133
,16a,9565,Reichenau,46.8429202,13.8778769,node,6273008140
Winkl,41,9565,Reichenau,46.89784,13.8764162,node,6273008184
,161,9565,Reichenau,46.9100381,13.8799693,node,6273010986
,158,9565,Reichenau,46.9107714,13.879351,node,6273010987
,52b,9570,Ossiach,46.6596999,13.9634203,node,6331071724
Fischerweg,11,9551,Steindorf am Ossiacher See,46.6786641,13.9679793,node,6331877003
Wiesenweg,2,9551,Steindorf am Ossiacher See,46.6802485,13.9639681,node,6331877009
Feldweg,18,9551,Steindorf am Ossiacher See,46.6797571,13.9646757,node,6331877010
,5,9551,Steindorf am Ossiacher See,46.698884,13.969632,node,6331877064
Helmut-Wobisch-Weg,47,9551,Steindorf am Ossiacher See,46.6888554,13.9831853,node,6331877065
Kirschenweg,5,9551,Steindorf am Ossiacher See,46.6850878,13.9647722,node,6331877094
10.-Oktober-Straße,50,9551,Steindorf am Ossiacher See,46.6852855,13.9706098,node,6331877103
Seestraße,16,9552,Steindorf am Ossiacher See,46.6953963,14.0076063,node,6334348790
Dammweg,24,9552,Steindorf am Ossiacher See,46.6949916,14.010819,node,6334348814
Helmut-Wobisch-Weg,30,9551,Steindorf am Ossiacher See,46.6888004,13.9853369,node,6335430625
Stieglweg,11,9552,Steindorf am Ossiacher See,46.6956871,13.9929305,node,6335430629
Hangweg,7,9552,Steindorf am Ossiacher See,46.6956361,13.994239,node,6335430630
Burgweg,19a,9551,Steindorf am Ossiacher See,46.6793654,13.9581528,node,6335430656
,10,9552,Steindorf am Ossiacher See,46.7011621,13.9760028,node,6335611958
Sonnleiten,67,9563,Gnesau,46.7836028,13.9527098,node,6390411383
,133,9563,Gnesau,46.7763281,13.9639789,node,6390412998
,129,9563,Gnesau,46.7744224,13.9634273,node,6390412999
,175,9564,Reichenau,46.8603447,13.8388951,node,6390471964
,162,9565,Reichenau,46.9127852,13.872942,node,6390474835
Fernblickweg,3,9571,Albeck,46.8525806,14.0065964,node,6390663529
,66a,9560,Steuerberg,46.7586019,14.0808785,node,6391840443
Obere Tiebelgasse,14,9560,Feldkirchen in Kärnten,46.7205069,14.0934929,node,6479057929
Tauchendorf,14,9556,,46.7297707,14.2344123,node,6493186516
Maria-Feicht,5,9555,,46.711626,14.2379169,node,6493186517
