OSM_ID,OSM_TYPE,NAME,BUILDING,ADDR_STRASSE,ADDR_HAUSNUMMER,ADDR_PLZ,ADDR_ORT,LAT,LON
61974589,way,,yes,,125,9565,Reichenau,46.85377522857142,13.895524414285713
61974590,way,,yes,,75,9565,Reichenau,46.851761485714285,13.8995303
61974593,way,,yes,,34,9565,Reichenau,46.85153312,13.901253639999998
61974595,way,,yes,,121,9565,Reichenau,46.8534916625,13.89568515
61974597,way,,yes,,84,9565,Reichenau,46.85429612857143,13.896122214285715
61974600,way,,yes,,78,9565,Reichenau,46.85152732,13.8996589
61974602,way,,yes,,128,9565,Reichenau,46.85358336,13.89658356
61974603,way,Gemeindeamt,yes,,80,9565,Reichenau,46.85423144,13.89357068
61974604,way,,yes,,90,9565,Reichenau,46.85399220000001,13.89673968
61974613,way,,yes,,33,9565,Reichenau,46.85303244000001,13.8979168
61975813,way,,semidetached_house,,50,9565,Reichenau,46.8554065,13.892279440000001
61975814,way,Feuerwehrhaus,apartments,,6,9565,Reichenau,46.857225744444435,13.891783466666665
61975815,way,,detached,,12,9565,Reichenau,46.855614540000005,13.892438819999999
61975816,way,,yes,,25,9565,Reichenau,46.8544954,13.89534104
61975818,way,,yes,,24,9565,Reichenau,46.854224419999994,13.89483238
61975819,way,,detached,,10,9565,Reichenau,46.855376840000005,13.89278862
61975820,way,,detached,,16,9565,Reichenau,46.855024920000005,13.892947519999998
61975821,way,Gasthaus Lax,yes,,22,9565,Reichenau,46.8542231,13.894241657142858
61975823,way,,yes,,27,9565,Reichenau,46.85463466,13.89484948
61975825,way,,detached,,41,9565,Reichenau,46.855030299999996,13.893505540000001
61975826,way,,yes,,46,9565,Reichenau,46.85368644,13.89514064
61975827,way,Spar,semidetached_house,Ebene Reichenau,89,9565,Ebene Reichenau,46.85521778571428,13.892406385714285
61975828,way,,detached,,14,9565,Reichenau,46.855202840000004,13.892660240000001
61975829,way,,house,Ebene Reichenau,18,9565,Reichenau,46.85482992,13.89325938
61975830,way,Quercus Appartements,apartments,Ebene Reichenau,20,9565,Ebene Reichenau,46.85483291428572,13.893938414285715
61975832,way,,yes,,61,9565,Reichenau,46.854658380000004,13.89448812
61975833,way,,retail,,97,9565,Reichenau,46.855551442857134,13.891992271428572
61975835,way,,yes,,29,9565,Reichenau,46.85492584,13.894569719999998
61975836,way,,yes,,82,9565,Reichenau,46.85515538333333,13.893131733333332
61975837,way,,detached,,40,9565,Reichenau,46.85566698,13.89186933
61975838,way,Volksschule,yes,,8,9565,Reichenau,46.8561743090909,13.891876372727273
61975840,way,reLAX,detached,,81,9565,Reichenau,46.854609499999995,13.893222439999999
61975841,way,,yes,,28,9565,Reichenau,46.85496574,13.894276139999999
61975847,way,,yes,,66,9565,Reichenau,46.85443216,13.894990179999999
61975848,way,,yes,,30,9565,Reichenau,46.8548025,13.895289479999999
104887997,way,LOKF - Flugplatz Feldkirchen,yes,,52,9560,Rabensdorf,46.71017302,14.076047220000001
114017061,way,Feriendorf Maltschacher See Rezeption,yes,Maltschacher See Straße,5,9560,Briefelsdorf,46.70158884,14.145353369999999
115086324,way,,house,Höhenstraße,5,,,46.72422125999999,14.110886619999999
115771140,way,,yes,,1,9562,Himmelberg,46.738056414285715,14.013036514285714
122569735,way,Evangelische Pfarrgemeinde Wiedweg,yes,Wiedweg,12,9564,Reichenau,46.81823844444445,13.856707033333333
122569736,way,Johanniter-Unfall-Hilfe Kärnten Patergassen,yes,Wiedweg,39,9564,Reichenau,46.81834855714286,13.856382899999998
122569743,way,,yes,Wiedweg,20,9564,Reichenau,46.81843395714286,13.855965471428572
122569745,way,,yes,Wiedweg,36,9564,Reichenau,46.817648376923074,13.8557439
122569750,way,,yes,Wiedweg,37,,,46.81774603437499,13.856259496875001
122569752,way,,yes,Wiedweg,15,9564,Reichenau,46.81712216,13.855251820000001
122569754,way,,yes,Wiedweg,24,9564,Reichenau,46.81731398,13.855571180000002
122569758,way,Gashof-Pension Wiedwegerhof,yes,Wiedweg,8,9564,Reichenau,46.817914928571426,13.855574899999999
122569761,way,Bürger Landmaschinen,yes,Wiedweg,31,,,46.81795326666666,13.859206888888888
122569762,way,,yes,Wiedweg,25,9564,Reichenau,46.81735117777777,13.855350233333333
122573156,way,,hangar,Wiedweg,4,9564,Reichenau,46.819144894117656,13.856688417647058
122573175,way,,yes,Wiedweg,19,9564,Reichenau,46.82071154285715,13.856618414285716
122574173,way,,yes,,1a,9554,St. Urban,46.74092688421052,14.198557410526313
122574174,way,,yes,,2,9554,St. Urban,46.740551339999996,14.19768178
122620296,way,,yes,,2a,9554,St. Urban,46.74133782,14.198188040000002
122620298,way,,yes,,3,9554,St. Urban,46.741273819999996,14.19908522
122620300,way,,yes,,3a,9554,St. Urban,46.74147586666666,14.198462733333335
122621429,way,,yes,Wiedweg,7,,,46.81857567272727,13.854859363636363
122621436,way,,yes,Wiedweg,16,9564,Reichenau,46.81590552000001,13.85436732
122621437,way,,yes,Wiedweg,43,9564,Reichenau,46.8145512,13.854747660000001
122621439,way,,yes,Wiedweg,28,9564,Reichenau,46.81599254,13.85457246
122621440,way,,yes,Wiedweg,26,9564,Reichenau,46.81536294,13.8534716
